ID,Gender,Nationality,Major,Level,IE1,SMSK3,RAS1,RAS2,SMSK1,SMSK4,IE2,TL1,RAS3,IE3,RAS4,RAS5,IE4,SMSK2,TL2,TL3,PSD1,PSD2,PSD3,IE5,PSD4,PSD5,IM1,IM2,IM3,IM4,IM5,IM6,W1,W2,W3,Employed,Score,Class
93,1,0,0,2,3,4,4,2,3,4,3,3,2,2,3,2,3,3,3,3,3,3,2,3,3,3,4,4,2,3,3,3,4,4,4,1,3.85,0
94,0,0,1,2,4,4,4,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,1,3.21,1
95,1,0,1,2,3,3,3,3,2,3,3,4,1,2,2,3,3,2,3,4,4,3,1,3,3,3,2,2,1,2,1,2,3,2,3,1,3.57,0
96,0,0,0,2,4,2,4,4,1,4,3,3,3,1,1,1,3,2,4,3,2,3,2,2,2,2,2,3,4,1,2,2,3,2,3,1,3.89,0
97,0,0,0,2,3,3,3,2,2,3,3,3,2,3,2,2,3,3,2,4,3,3,2,2,3,3,2,2,3,3,3,3,4,4,3,1,4,0
98,0,0,1,2,4,3,3,4,3,3,3,3,4,4,3,2,3,3,3,4,3,3,2,3,3,2,3,3,3,2,3,3,,,1,0,3.8,0
99,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,,1,3.76,1
100,0,0,0,2,4,2,3,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,4,4,3,3,3,4,3,3,1,3.6,0
101,0,0,1,2,4,3,4,3,3,4,4,4,4,3,4,3,3,2,2,3,3,3,4,3,3,4,4,4,2,3,4,3,,,,0,3.27,0
102,1,1,0,2,4,4,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,1,3.94,0
103,1,0,0,2,3,3,2,3,4,2,3,2,2,2,3,2,3,2,2,3,3,2,2,2,3,2,3,3,3,3,3,3,4,3,3,1,3.05,0
